row_number,TELEFONO,length,has_digits_only
328,78208583-78209143,17,False
485,79540830-79540909,17,False
486,79540830-79540909,17,False
488,79540830-79540909,17,False
655,78391288-78392217,17,False
671,783928,6,True
674,79649696-78739432,17,False
676,78739432-79649696,17,False
677,78739432-79649696,17,False
746,78739432-79649696,17,False
772,78393245-78393246,17,False
789,78393245-78393246,17,False
794,78391332-78395850-78395997,26,False
823,78392709-78396701-78396702,26,False
950,77238200/58540260,17,False
1069,78392156-59881439,17,False
1084,66206263-79420025,17,False
1156,59352245-79438029,17,False
1158,59352245-79438029,17,False
1338,22202870-73,11,False
1341,22320559-22320560,17,False
1342,2517748 2384159,15,False
1407,22202870-73,11,False
1419,2202869-2202873,15,False
1615,230835,6,True
1774,"25763,26725 Y 21568",19,False
1820,"25763, 26725 Y 21568",20,False
1827,"2325732, 2320075, 2307014",25,False
1854,"26725,25763 Y 21568",19,False
1881,23267252-09442325,17,False
1889,23267252-09442325,17,False
1904,"251-7968,232-5955",17,False
1921,2320559-2320560,15,False
1932,"238-4425,251-4792",17,False
1958,2384648-2512449-2514657,23,False
1961,238-4283/2384284,16,False
1965,"2325732, 2320075, 2307014",25,False
1966,"2325732, 2320075, 2307014",25,False
1968,"2532566,2329566",15,False
1978,2329664-2500774,15,False
1980,22205283 2500774,16,False
1988,2517748-2384159,15,False
2032,232-1011 y 251-6422,19,False
2051,22205283 2530023,16,False
2052,22205283 2530023,16,False
2058,2380864-2500509,15,False
2060,"22207754, 22207755",18,False
2109,"2868188, 2069210",16,False
2139,2220-1723,9,False
2144,"66609219, 22305978",18,False
2145,"66609219, 22305978",18,False
2166,22327654-22306279,17,False
2185,22211863-22211864,17,False
2238,22067,5,True
2273,0,1,True
2293,"2541037, 2541191",16,False
2296,55081344-57089673,17,False
2297,22881328 7089673,16,False
2350,22517920-22518076,17,False
2362,24712407-24720315,17,False
2364,4712407-4720315,15,False
2368,22321385-22323734,17,False
2446,22067,5,True
2488,"2892091,2890382",15,False
2498,22791315-16,11,False
2513,22894824-22881328,17,False
2648,"24355424, 24314311",18,False
2661,736617 Y 714495,15,False
2673,4738493-4739588,15,False
2696,5974265 FAX 5974263,19,False
2702,"4751244, 4751249",16,False
2705,"4739888, 4738983",16,False
