departamento,municipio,establecimiento,registros,direcciones_distintas,status_distintos,jornadas_distintas,planes_distintos,codigos
GUATEMALA,VILLA NUEVA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,15,15,2,5,3,01-15-0062-46; 01-15-0063-46; 01-15-0065-46; 01-15-0066-46; 01-15-0074-46; 01-15-0075-46; 01-15-0076-46; 01-15-0376-46; 01-15-0378-46; 01-15-0382-46; 01-15-0383-46; 01-15-0708-46; 01-15-0710-46; 01-15-0714-46; 01-15-0720-46
ALTA VERAPAZ,SAN PEDRO CARCHÁ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,12,12,2,2,1,16-09-0386-46; 16-09-0796-46; 16-09-0820-46; 16-09-0827-46; 16-09-0837-46; 16-09-0838-46; 16-09-0839-46; 16-09-0840-46; 16-09-0880-46; 16-09-0882-46; 16-09-0883-46; 16-09-0885-46
BAJA VERAPAZ,CUBULCO,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,11,11,1,1,1,15-04-0268-46; 15-04-0269-46; 15-04-0270-46; 15-04-0271-46; 15-04-0272-46; 15-04-0273-46; 15-04-0274-46; 15-04-0275-46; 15-04-0276-46; 15-04-0277-46; 15-04-0278-46
QUICHÉ,IXCÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,11,11,2,1,1,14-20-0228-46; 14-20-0231-46; 14-20-0232-46; 14-20-0234-46; 14-20-0237-46; 14-20-0238-46; 14-20-0242-46; 14-20-0243-46; 14-20-0244-46; 14-20-0245-46; 14-20-0246-46
SAN MARCOS,MALACATÁN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,10,9,2,3,1,12-15-0035-46; 12-15-0036-46; 12-15-0037-46; 12-15-0063-46; 12-15-0064-46; 12-15-0065-46; 12-15-0090-46; 12-15-0116-46; 12-15-0171-46; 12-15-0197-46
CIUDAD CAPITAL,ZONA 1,INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACIÓN,14,8,3,5,4,00-01-0508-46; 00-01-0766-46; 00-01-0768-46; 00-01-0770-46; 00-01-2466-46; 00-01-2467-46; 00-01-2468-46; 00-01-3043-46; 00-01-3046-46; 00-01-4406-46; 00-01-6988-46; 00-01-7256-46; 00-01-8209-46; 00-01-8299-46
ESCUINTLA,TIQUISATE,INSTITUTO TECNOLOGÍA Y CIENCIA,13,8,2,4,3,05-06-0046-46; 05-06-0052-46; 05-06-0053-46; 05-06-0054-46; 05-06-0080-46; 05-06-0081-46; 05-06-0082-46; 05-06-0093-46; 05-06-0100-46; 05-06-0102-46; 05-06-0103-46; 05-06-0129-46; 05-06-0130-46
BAJA VERAPAZ,SAN MIGUEL CHICAJ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,9,8,3,2,1,15-02-0023-46; 15-02-0058-46; 15-02-0094-46; 15-02-0103-46; 15-02-0111-46; 15-02-0125-46; 15-02-0126-46; 15-02-0129-46; 15-02-0132-46
HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,8,8,2,4,3,13-01-0112-46; 13-01-0323-46; 13-01-0342-46; 13-01-0352-46; 13-01-0382-46; 13-01-0385-46; 13-01-0386-46; 13-01-0421-46
ALTA VERAPAZ,FRAY BARTOLOMÉ DE LAS CASAS,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,7,7,1,2,1,16-15-0178-46; 16-15-0179-46; 16-15-0181-46; 16-15-0182-46; 16-15-0183-46; 16-15-0184-46; 16-15-0185-46
