indice_a,indice_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,similitud_nombre,misma_direccion,mismo_telefono,status_a,status_b,decision
3718,3737,05-01-0374-46,05-01-0425-46,"INSTITUTO MIXTO PARTICULAR DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ""ALMA LIBERTAD PÉREZ MARTÍNEZ""","INSTITUTO MIXTO PARTICULAR DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ""ALMA LIBERTAD PÉREZ MARTÍNEZ"".",99.5,False,True,CERRADA TEMPORALMENTE,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
3519,3527,02-03-0003-46,02-03-0055-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""","COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",99.4,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
6950,7000,18-01-0420-46,18-01-2830-46,COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP,"COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION, CEIF COMP",99.4,False,True,ABIERTA,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
6997,7000,18-01-2823-46,18-01-2830-46,COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP,"COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION, CEIF COMP",99.4,False,True,ABIERTA,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
3518,3519,02-03-0002-46,02-03-0003-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""","COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""",99.4,True,False,ABIERTA,ABIERTA,"Probable duplicado (misma direccion, nombre casi identico): revisar"
8039,8045,17-05-0284-46,17-05-0299-46,"COLEGIO DE EDUCACION INTEGRAL CON ORIENTACION UNIVERSITARIA ""EL PODER DEL SABER""","COLEGIO DE EDUCACION INTEGRAL CON ORIENTACION UNIVERSITARIA, ""EL PODER DEL SABER""",99.4,False,False,CERRADA DEFINITIVAMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
3519,3520,02-03-0003-46,02-03-0004-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""","COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",99.4,True,False,ABIERTA,ABIERTA,"Probable duplicado (misma direccion, nombre casi identico): revisar"
8015,8074,17-05-0210-46,17-05-3351-46,"COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES, CON ORIENTACION EN COMPUTACION",COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES CON ORIENTACION EN COMPUTACION,99.3,True,True,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion y telefono): candidato a fusion, revisar"
8013,8074,17-05-0208-46,17-05-3351-46,"COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES, CON ORIENTACION EN COMPUTACION",COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES CON ORIENTACION EN COMPUTACION,99.3,True,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion, nombre casi identico): revisar"
4624,4626,01-08-0009-46,01-08-0013-46,INSTITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,INSTIITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,99.3,False,True,ABIERTA,CERRADA TEMPORALMENTE,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
